state_ut,census_year,population
Uttar Pradesh,2011,199581477
Maharashtra,2011,112372972
Bihar,2011,103804637
West Bengal,2011,91347736
Andhra Pradesh,2011,84665533
Tamil Nadu,2011,72138958
Madhya Pradesh,2011,72597565
Rajasthan,2011,68621012
Karnataka,2011,61130704
Gujarat,2011,60439692
Odisha,2011,41974218
Kerala,2011,33406061
Jharkhand,2011,32988134
Assam,2011,31205576
Punjab,2011,27743338
Haryana,2011,25351462
Chhattisgarh,2011,25545198
Delhi,2011,16787941
Jammu & Kashmir,2011,12267032
Uttarakhand,2011,10086292
Himachal Pradesh,2011,6864602
Tripura,2011,3673917
Meghalaya,2011,2966889
Manipur,2011,2855794
Nagaland,2011,1978502
Goa,2011,1458545
Arunachal Pradesh,2011,1383727
Mizoram,2011,1097206
Sikkim,2011,610577
Puducherry,2011,1247953
Chandigarh,2011,1055450
Andaman & Nicobar Islands,2011,380581
Dadra & Nagar Haveli and Daman & Diu,2011,585764
Lakshadweep,2011,64473
India,2011,1210193422
