state_ut,year,road_accidents
Andhra Pradesh,2024,19557
Arunachal Pradesh,2024,277
Assam,2024,7848
Bihar,2024,11610
Chhattisgarh,2024,14857
Goa,2024,2682
Gujarat,2024,15588
Haryana,2024,9806
Himachal Pradesh,2024,2156
Jharkhand,2024,5196
Karnataka,2024,43062
Kerala,2024,48834
Madhya Pradesh,2024,56669
Maharashtra,2024,36118
Manipur,2024,299
Meghalaya,2024,269
Mizoram,2024,118
Nagaland,2024,129
Odisha,2024,12375
Punjab,2024,6063
Rajasthan,2024,24838
Sikkim,2024,149
Tamil Nadu,2024,67526
Telangana,2024,25986
Tripura,2024,578
Uttarakhand,2024,1747
Uttar Pradesh,2024,46052
West Bengal,2024,13700
Andaman & Nicobar Islands,2024,135
Chandigarh,2024,169
Dadra & Nagar Haveli and Daman & Diu,2024,152
Delhi,2024,5657
Jammu & Kashmir,2024,5808
Ladakh,2024,264
All India,2024,487707
